age,income,home_ownership,employment_length,loan_intent,loan_amount,loan_interest_rate,loan_income_ratio,payment_default_on_file,credit_history_length,max_allowed_loan
40.0,60000.0,MORTGAGE,2.0,MEDICAL,18000,10.37,0.31,N,14,18000.0
40.0,550000.0,MORTGAGE,5.0,VENTURE,18000,11.12,0.03,N,13,18000.0
40.0,142000.0,MORTGAGE,2.0,EDUCATION,18000,12.99,0.13,Y,14,18000.0
40.0,80000.0,RENT,5.0,HOMEIMPROVEMENT,18000,10.99,0.23,N,16,18000.0
40.0,79872.0,MORTGAGE,4.0,DEBTCONSOLIDATION,18000,12.68,0.23,N,12,18000.0
40.0,50000.0,RENT,3.0,MEDICAL,18000,10.25,0.36,N,15,18000.0
40.0,120000.0,MORTGAGE,4.0,PERSONAL,17625,7.49,0.15,N,17,17625.0
40.0,108928.0,MORTGAGE,0.0,HOMEIMPROVEMENT,17600,14.27,0.15,Y,14,17600.0
40.0,75000.0,MORTGAGE,0.0,VENTURE,17600,6.76,0.23,N,17,17600.0
40.0,78301.0,MORTGAGE,5.0,MEDICAL,17000,6.62,0.22,N,13,17000.0
40.0,54400.0,MORTGAGE,3.0,HOMEIMPROVEMENT,17000,12.99,0.28,Y,13,17000.0
40.0,60000.0,RENT,0.0,EDUCATION,17000,11.71,0.28,N,13,17000.0
40.0,70000.0,MORTGAGE,18.0,DEBTCONSOLIDATION,17000,11.12,0.24,N,12,17000.0
40.0,60000.0,MORTGAGE,18.0,VENTURE,16750,7.88,0.28,N,14,16750.0
40.0,200000.0,RENT,5.0,PERSONAL,16000,11.14,0.08,N,13,16000.0
40.0,110000.0,MORTGAGE,5.0,EDUCATION,16000,10.25,0.15,N,13,16000.0
40.0,67000.0,RENT,12.0,VENTURE,16000,9.99,0.24,N,13,16000.0
40.0,56472.0,RENT,4.0,EDUCATION,15775,14.42,0.28,N,15,15775.0
40.0,75000.0,MORTGAGE,0.0,HOMEIMPROVEMENT,15000,8.94,0.2,N,17,15000.0
40.0,60000.0,MORTGAGE,2.0,HOMEIMPROVEMENT,15000,8.94,0.25,N,13,15000.0
40.0,58000.0,MORTGAGE,9.0,HOMEIMPROVEMENT,15000,6.17,0.26,N,14,15000.0
40.0,77000.0,MORTGAGE,5.0,MEDICAL,15000,12.21,0.19,N,14,15000.0
40.0,50000.0,RENT,2.0,VENTURE,15000,11.26,0.3,N,15,15000.0
40.0,60000.0,RENT,2.0,MEDICAL,15000,13.11,0.25,Y,14,15000.0
40.0,150000.0,RENT,8.0,HOMEIMPROVEMENT,15000,10.25,0.1,N,13,15000.0
40.0,60000.0,RENT,4.0,HOMEIMPROVEMENT,15000,14.96,0.25,Y,16,15000.0
40.0,110000.0,RENT,2.0,DEBTCONSOLIDATION,15000,5.42,0.14,N,12,15000.0
40.0,90000.0,RENT,1.0,MEDICAL,15000,14.26,0.17,Y,15,15000.0
40.0,50000.0,RENT,6.0,EDUCATION,15000,16.89,0.3,N,17,15000.0
40.0,60000.0,OWN,20.0,HOMEIMPROVEMENT,15000,13.43,0.25,Y,13,15000.0
40.0,69996.0,OWN,2.0,EDUCATION,15000,12.84,0.21,N,11,15000.0
40.0,70000.0,MORTGAGE,5.0,EDUCATION,15000,14.26,0.21,Y,15,15000.0
40.0,53000.0,MORTGAGE,2.0,HOMEIMPROVEMENT,15000,10.62,0.28,N,15,15000.0
40.0,58000.0,MORTGAGE,16.0,PERSONAL,15000,10.25,0.26,N,14,15000.0
40.0,100000.0,MORTGAGE,4.0,HOMEIMPROVEMENT,15000,11.49,0.15,N,13,15000.0
40.0,135000.0,MORTGAGE,0.0,PERSONAL,15000,13.47,0.11,Y,17,15000.0
40.0,63000.0,MORTGAGE,3.0,HOMEIMPROVEMENT,15000,10.25,0.24,N,17,15000.0
40.0,48000.0,MORTGAGE,17.0,MEDICAL,14750,9.91,0.29,N,15,14750.0
40.0,42000.0,MORTGAGE,13.0,EDUCATION,14500,7.88,0.33,N,13,14500.0
40.0,57000.0,RENT,0.0,DEBTCONSOLIDATION,14400,11.71,0.25,N,12,14400.0
40.0,75000.0,RENT,2.0,EDUCATION,14400,14.72,0.19,Y,16,14400.0
40.0,110000.0,RENT,5.0,PERSONAL,14000,5.42,0.13,N,11,14000.0
40.0,54996.0,RENT,1.0,VENTURE,14000,10.37,0.25,N,15,14000.0
40.0,180000.0,MORTGAGE,6.0,MEDICAL,14000,14.27,0.08,Y,14,14000.0
40.0,86500.0,OWN,24.0,EDUCATION,14000,7.29,0.16,N,12,14000.0
40.0,140000.0,RENT,5.0,HOMEIMPROVEMENT,14000,7.88,0.1,N,13,14000.0
40.0,70000.0,RENT,3.0,DEBTCONSOLIDATION,14000,13.49,0.2,Y,12,14000.0
40.0,117600.0,MORTGAGE,8.0,DEBTCONSOLIDATION,14000,13.48,0.12,N,17,14000.0
40.0,60000.0,RENT,2.0,HOMEIMPROVEMENT,14000,12.53,0.23,N,15,14000.0
40.0,180000.0,MORTGAGE,8.0,EDUCATION,14000,11.99,0.08,N,11,14000.0
40.0,115000.0,MORTGAGE,12.0,DEBTCONSOLIDATION,14000,6.03,0.12,N,16,14000.0
40.0,115000.0,MORTGAGE,16.0,VENTURE,14000,6.03,0.12,N,13,14000.0
40.0,54000.0,MORTGAGE,2.0,HOMEIMPROVEMENT,13200,7.88,0.25,N,16,13200.0
40.0,63996.0,MORTGAGE,8.0,MEDICAL,13000,10.25,0.2,N,17,13000.0
40.0,48000.0,RENT,5.0,VENTURE,13000,5.79,0.25,N,11,13000.0
40.0,101877.0,RENT,8.0,HOMEIMPROVEMENT,12800,7.88,0.12,N,14,12800.0
40.0,52000.0,RENT,2.0,HOMEIMPROVEMENT,12800,10.99,0.25,N,17,12800.0
40.0,90000.0,MORTGAGE,19.0,VENTURE,12000,12.61,0.13,N,13,12000.0
40.0,60000.0,MORTGAGE,15.0,PERSONAL,12000,14.27,0.2,N,16,12000.0
40.0,65000.0,MORTGAGE,7.0,MEDICAL,12000,8.94,0.18,N,12,12000.0
40.0,60000.0,RENT,5.0,HOMEIMPROVEMENT,12000,11.71,0.2,N,14,12000.0
40.0,40000.0,RENT,2.0,EDUCATION,12000,7.9,0.3,N,11,12000.0
40.0,60000.0,RENT,5.0,PERSONAL,12000,11.71,0.2,N,13,12000.0
40.0,50000.0,RENT,4.0,HOMEIMPROVEMENT,12000,13.99,0.24,Y,16,12000.0
40.0,132000.0,RENT,1.0,HOMEIMPROVEMENT,12000,12.87,0.09,N,16,12000.0
40.0,55000.0,MORTGAGE,3.0,EDUCATION,12000,15.2,0.22,N,14,12000.0
40.0,53000.0,RENT,7.0,PERSONAL,12000,16.77,0.23,N,16,12000.0
40.0,150000.0,MORTGAGE,5.0,VENTURE,12000,7.29,0.08,N,17,12000.0
40.0,60000.0,RENT,6.0,PERSONAL,12000,13.49,0.2,N,16,12000.0
40.0,54000.0,RENT,4.0,DEBTCONSOLIDATION,12000,11.36,0.22,N,17,12000.0
40.0,180000.0,RENT,2.0,DEBTCONSOLIDATION,12000,7.51,0.07,N,13,12000.0
40.0,75000.0,MORTGAGE,7.0,PERSONAL,12000,7.88,0.17,N,13,12000.0
40.0,55000.0,RENT,3.0,EDUCATION,12000,14.27,0.22,N,15,12000.0
40.0,110000.0,MORTGAGE,0.0,MEDICAL,12000,10.37,0.11,N,15,12000.0
40.0,50000.0,MORTGAGE,6.0,DEBTCONSOLIDATION,12000,10.37,0.24,N,14,12000.0
40.0,130000.0,MORTGAGE,3.0,PERSONAL,12000,9.91,0.09,N,15,12000.0
40.0,75000.0,MORTGAGE,3.0,MEDICAL,12000,7.51,0.16,N,13,12000.0
40.0,90000.0,MORTGAGE,11.0,EDUCATION,12000,10.0,0.13,N,11,12000.0
40.0,100000.0,MORTGAGE,0.0,HOMEIMPROVEMENT,12000,8.59,0.12,N,15,12000.0
40.0,72000.0,RENT,3.0,PERSONAL,12000,14.27,0.17,Y,15,12000.0
40.0,38000.0,OWN,10.0,VENTURE,12000,5.42,0.32,N,16,12000.0
40.0,85000.0,OWN,16.0,VENTURE,12000,7.51,0.14,N,14,12000.0
40.0,123735.0,MORTGAGE,8.0,PERSONAL,12000,7.88,0.1,N,12,12000.0
40.0,110000.0,RENT,1.0,VENTURE,12000,6.99,0.11,N,15,12000.0
40.0,130000.0,MORTGAGE,6.0,MEDICAL,11800,11.14,0.09,N,13,11800.0
40.0,65000.0,RENT,6.0,MEDICAL,11500,12.87,0.18,Y,17,11500.0
40.0,40000.0,RENT,0.0,PERSONAL,11500,14.26,0.28,N,12,11500.0
40.0,95000.0,MORTGAGE,3.0,HOMEIMPROVEMENT,11200,14.27,0.12,N,16,11200.0
40.0,50000.0,MORTGAGE,5.0,VENTURE,11000,5.99,0.22,N,14,11000.0
40.0,130000.0,MORTGAGE,1.0,PERSONAL,11000,10.99,0.08,N,12,11000.0
40.0,125000.0,RENT,3.0,VENTURE,10200,8.49,0.08,N,17,10200.0
40.0,74000.0,RENT,7.0,MEDICAL,10200,12.53,0.14,N,17,10200.0
40.0,57600.0,RENT,1.0,PERSONAL,10000,13.61,0.17,N,11,10000.0
40.0,60000.0,MORTGAGE,12.0,DEBTCONSOLIDATION,10000,7.14,0.17,N,14,10000.0
40.0,50000.0,MORTGAGE,2.0,EDUCATION,10000,15.28,0.2,Y,17,10000.0
40.0,120000.0,MORTGAGE,2.0,HOMEIMPROVEMENT,10000,10.37,0.08,N,12,10000.0
40.0,90000.0,RENT,1.0,MEDICAL,10000,11.86,0.11,N,12,10000.0
40.0,35640.0,MORTGAGE,2.0,MEDICAL,10000,7.88,0.28,N,11,10000.0
40.0,150000.0,MORTGAGE,8.0,MEDICAL,10000,7.29,0.07,N,12,10000.0
40.0,82000.0,OWN,10.0,EDUCATION,10000,9.99,0.12,N,11,10000.0
40.0,63000.0,MORTGAGE,0.0,MEDICAL,10000,10.74,0.16,N,14,10000.0
40.0,102000.0,MORTGAGE,2.0,MEDICAL,10000,9.63,0.1,N,14,10000.0
40.0,36000.0,MORTGAGE,3.0,PERSONAL,10000,5.99,0.28,N,17,10000.0
40.0,175500.0,MORTGAGE,2.0,HOMEIMPROVEMENT,10000,12.18,0.06,N,15,10000.0
40.0,125000.0,RENT,3.0,EDUCATION,10000,14.27,0.08,N,15,10000.0
40.0,42000.0,RENT,4.0,VENTURE,10000,7.9,0.24,N,15,10000.0
40.0,85000.0,MORTGAGE,18.0,MEDICAL,10000,9.99,0.12,N,12,10000.0
40.0,98000.0,MORTGAGE,5.0,VENTURE,10000,11.48,0.1,N,11,10000.0
40.0,60000.0,MORTGAGE,12.0,VENTURE,10000,10.36,0.17,N,16,10000.0
40.0,75996.0,MORTGAGE,15.0,MEDICAL,10000,6.91,0.13,N,16,10000.0
40.0,200000.0,MORTGAGE,2.0,DEBTCONSOLIDATION,10000,7.9,0.05,N,14,10000.0
40.0,40000.0,MORTGAGE,4.0,MEDICAL,10000,5.99,0.25,N,16,10000.0
40.0,75000.0,MORTGAGE,0.0,EDUCATION,10000,10.95,0.13,N,14,10000.0
40.0,60000.0,RENT,5.0,MEDICAL,10000,10.59,0.17,N,17,10000.0
40.0,44000.0,RENT,4.0,VENTURE,10000,6.62,0.23,N,17,10000.0
40.0,50000.0,RENT,5.0,VENTURE,10000,6.62,0.2,N,16,10000.0
40.0,70000.0,RENT,2.0,EDUCATION,10000,10.65,0.14,N,12,10000.0
40.0,38004.0,RENT,4.0,MEDICAL,10000,9.63,0.26,N,13,10000.0
40.0,120000.0,MORTGAGE,2.0,MEDICAL,10000,11.99,0.08,N,11,10000.0
40.0,60000.0,RENT,2.0,VENTURE,10000,13.43,0.17,Y,14,10000.0
40.0,100000.0,OWN,16.0,MEDICAL,10000,7.49,0.1,N,17,10000.0
40.0,60000.0,MORTGAGE,4.0,HOMEIMPROVEMENT,10000,7.88,0.17,N,16,10000.0
40.0,112500.0,MORTGAGE,2.0,HOMEIMPROVEMENT,10000,10.25,0.09,N,12,10000.0
40.0,108288.0,MORTGAGE,13.0,DEBTCONSOLIDATION,10000,10.37,0.09,N,14,10000.0
40.0,39000.0,MORTGAGE,6.0,HOMEIMPROVEMENT,10000,11.48,0.26,N,15,10000.0
40.0,150000.0,MORTGAGE,5.0,EDUCATION,10000,7.9,0.07,N,13,10000.0
40.0,60000.0,RENT,5.0,HOMEIMPROVEMENT,10000,13.43,0.17,N,17,10000.0
40.0,80000.0,MORTGAGE,3.0,HOMEIMPROVEMENT,10000,11.49,0.13,N,17,10000.0
40.0,67000.0,RENT,13.0,DEBTCONSOLIDATION,10000,10.74,0.15,N,14,10000.0
40.0,50000.0,RENT,3.0,HOMEIMPROVEMENT,10000,6.62,0.2,N,15,10000.0
40.0,70000.0,MORTGAGE,2.0,EDUCATION,10000,14.27,0.14,Y,12,10000.0
40.0,115000.0,RENT,16.0,EDUCATION,9975,7.49,0.09,N,14,9975.0
40.0,114000.0,RENT,2.0,VENTURE,9975,11.49,0.09,N,16,9975.0
40.0,106000.0,MORTGAGE,19.0,EDUCATION,9600,9.99,0.09,N,14,9600.0
40.0,45760.0,MORTGAGE,2.0,PERSONAL,9125,11.11,0.2,N,11,9125.0
40.0,75000.0,MORTGAGE,2.0,VENTURE,9000,5.79,0.12,N,14,9000.0
40.0,118000.0,MORTGAGE,1.0,VENTURE,9000,14.11,0.07,N,14,9000.0
40.0,92700.0,RENT,1.0,EDUCATION,9000,9.63,0.1,N,11,9000.0
40.0,65000.0,MORTGAGE,5.0,MEDICAL,9000,10.99,0.14,N,13,9000.0
40.0,170000.0,MORTGAGE,18.0,HOMEIMPROVEMENT,9000,9.45,0.05,N,11,9000.0
40.0,45000.0,RENT,0.0,HOMEIMPROVEMENT,9000,12.61,0.19,Y,13,9000.0
40.0,110000.0,MORTGAGE,3.0,PERSONAL,9000,13.72,0.08,Y,15,9000.0
40.0,68000.0,MORTGAGE,4.0,EDUCATION,8700,15.58,0.12,Y,16,8700.0
40.0,28800.0,OWN,0.0,VENTURE,8000,10.38,0.28,N,17,8000.0
40.0,62000.0,MORTGAGE,3.0,HOMEIMPROVEMENT,8000,14.83,0.13,N,15,8000.0
40.0,35000.0,OWN,2.0,PERSONAL,8000,16.29,0.23,Y,13,8000.0
40.0,55000.0,MORTGAGE,2.0,VENTURE,8000,12.53,0.15,N,13,8000.0
40.0,60000.0,RENT,1.0,HOMEIMPROVEMENT,8000,13.57,0.13,N,12,8000.0
40.0,48000.0,RENT,15.0,DEBTCONSOLIDATION,8000,9.25,0.17,N,14,8000.0
40.0,55000.0,MORTGAGE,5.0,PERSONAL,8000,8.49,0.15,N,14,8000.0
40.0,60000.0,RENT,6.0,PERSONAL,8000,10.37,0.13,N,11,8000.0
40.0,50000.0,MORTGAGE,5.0,MEDICAL,8000,5.99,0.16,N,11,8000.0
40.0,69996.0,RENT,1.0,MEDICAL,8000,9.32,0.11,N,16,8000.0
40.0,87000.0,RENT,2.0,EDUCATION,8000,12.21,0.09,N,11,8000.0
40.0,70000.0,OWN,11.0,HOMEIMPROVEMENT,8000,13.61,0.11,N,15,8000.0
40.0,61500.0,RENT,3.0,MEDICAL,8000,10.37,0.13,N,17,8000.0
40.0,38400.0,RENT,2.0,PERSONAL,8000,12.42,0.21,N,11,8000.0
40.0,89440.0,OWN,8.0,HOMEIMPROVEMENT,8000,11.86,0.09,N,16,8000.0
40.0,150000.0,MORTGAGE,3.0,HOMEIMPROVEMENT,8000,9.62,0.05,N,17,8000.0
40.0,30000.0,RENT,0.0,MEDICAL,8000,9.63,0.27,N,14,8000.0
40.0,60000.0,RENT,5.0,PERSONAL,8000,7.51,0.13,N,15,8000.0
40.0,45000.0,RENT,3.0,MEDICAL,8000,10.38,0.18,N,17,8000.0
40.0,40000.0,RENT,2.0,VENTURE,8000,11.36,0.2,N,14,8000.0
40.0,90000.0,MORTGAGE,12.0,VENTURE,8000,7.66,0.09,N,14,8000.0
40.0,115600.0,MORTGAGE,4.0,HOMEIMPROVEMENT,8000,7.88,0.07,N,11,8000.0
40.0,85000.0,MORTGAGE,18.0,VENTURE,8000,7.88,0.09,N,17,8000.0
40.0,36000.0,RENT,5.0,MEDICAL,7600,6.03,0.21,N,14,7600.0
40.0,55000.0,RENT,2.0,EDUCATION,7500,10.65,0.14,N,14,7500.0
40.0,170004.0,RENT,18.0,EDUCATION,7500,12.68,0.04,N,17,7500.0
40.0,177600.0,MORTGAGE,11.0,EDUCATION,7500,11.86,0.04,N,11,7500.0
40.0,132000.0,RENT,3.0,HOMEIMPROVEMENT,7500,7.9,0.06,N,11,7500.0
40.0,85000.0,MORTGAGE,7.0,MEDICAL,7500,11.86,0.09,N,16,7500.0
40.0,48000.0,RENT,3.0,MEDICAL,7500,10.99,0.16,N,15,7500.0
40.0,50000.0,RENT,5.0,HOMEIMPROVEMENT,7500,14.27,0.15,N,14,7500.0
40.0,64000.0,RENT,2.0,MEDICAL,7200,6.62,0.11,N,11,7200.0
40.0,32400.0,MORTGAGE,12.0,VENTURE,7125,7.51,0.23,N,11,7125.0
40.0,69930.0,MORTGAGE,8.0,PERSONAL,7125,6.62,0.1,N,16,7125.0
40.0,84000.0,RENT,5.0,HOMEIMPROVEMENT,7000,6.91,0.08,N,13,7000.0
40.0,149000.0,MORTGAGE,25.0,HOMEIMPROVEMENT,7000,10.59,0.05,N,14,7000.0
40.0,28800.0,RENT,1.0,VENTURE,7000,7.49,0.25,N,13,7000.0
40.0,150000.0,MORTGAGE,1.0,MEDICAL,7000,11.71,0.05,N,14,7000.0
40.0,70000.0,MORTGAGE,1.0,EDUCATION,7000,7.29,0.1,N,16,7000.0
40.0,100000.0,RENT,1.0,HOMEIMPROVEMENT,7000,9.63,0.07,N,17,7000.0
40.0,50000.0,MORTGAGE,5.0,HOMEIMPROVEMENT,7000,7.49,0.14,N,11,7000.0
40.0,55000.0,MORTGAGE,5.0,VENTURE,7000,9.99,0.13,N,14,7000.0
40.0,225000.0,MORTGAGE,3.0,EDUCATION,7000,9.99,0.03,N,16,7000.0
40.0,75000.0,MORTGAGE,17.0,EDUCATION,7000,5.42,0.09,N,14,7000.0
40.0,60000.0,MORTGAGE,7.0,HOMEIMPROVEMENT,7000,6.76,0.12,N,16,7000.0
40.0,125000.0,MORTGAGE,5.0,MEDICAL,7000,11.71,0.06,N,12,7000.0
40.0,120000.0,MORTGAGE,3.0,MEDICAL,7000,10.65,0.06,N,13,7000.0
40.0,30000.0,OWN,5.0,EDUCATION,7000,9.32,0.23,N,11,7000.0
40.0,96000.0,MORTGAGE,0.0,PERSONAL,7000,8.94,0.07,N,16,7000.0
40.0,120000.0,MORTGAGE,12.0,HOMEIMPROVEMENT,7000,5.79,0.06,N,11,7000.0
40.0,60000.0,MORTGAGE,5.0,VENTURE,7000,10.0,0.12,N,14,7000.0
40.0,27600.0,OWN,4.0,PERSONAL,7000,11.11,0.25,N,16,7000.0
40.0,60000.0,MORTGAGE,2.0,DEBTCONSOLIDATION,7000,7.88,0.12,N,11,7000.0
40.0,60000.0,RENT,0.0,PERSONAL,7000,8.94,0.12,N,14,7000.0
40.0,53000.0,RENT,6.0,PERSONAL,6800,12.84,0.13,N,11,6800.0
40.0,48000.0,MORTGAGE,10.0,VENTURE,6700,5.99,0.14,N,11,6700.0
40.0,72000.0,MORTGAGE,16.0,VENTURE,6400,5.79,0.09,N,15,6400.0
40.0,45600.0,MORTGAGE,6.0,EDUCATION,6250,9.32,0.14,N,16,6250.0
40.0,120000.0,MORTGAGE,18.0,HOMEIMPROVEMENT,6000,6.03,0.05,N,14,6000.0
40.0,63000.0,RENT,5.0,HOMEIMPROVEMENT,6000,7.74,0.09,N,17,6000.0
40.0,60000.0,RENT,0.0,DEBTCONSOLIDATION,6000,10.65,0.1,N,14,6000.0
40.0,54000.0,MORTGAGE,10.0,PERSONAL,6000,7.14,0.11,N,12,6000.0
40.0,102000.0,MORTGAGE,6.0,HOMEIMPROVEMENT,6000,9.99,0.06,N,16,6000.0
40.0,30000.0,RENT,4.0,PERSONAL,6000,7.49,0.2,N,14,6000.0
40.0,102000.0,MORTGAGE,4.0,EDUCATION,6000,7.51,0.06,N,11,6000.0
40.0,120000.0,OWN,12.0,HOMEIMPROVEMENT,6000,8.88,0.05,N,14,6000.0
40.0,120000.0,MORTGAGE,3.0,HOMEIMPROVEMENT,6000,7.14,0.05,N,14,6000.0
40.0,95000.0,MORTGAGE,4.0,PERSONAL,6000,12.99,0.06,Y,16,6000.0
40.0,110000.0,RENT,2.0,MEDICAL,6000,8.94,0.05,N,13,6000.0
40.0,61500.0,MORTGAGE,5.0,HOMEIMPROVEMENT,6000,11.48,0.1,N,13,6000.0
40.0,60000.0,RENT,3.0,HOMEIMPROVEMENT,6000,10.99,0.1,N,16,6000.0
40.0,50000.0,RENT,5.0,DEBTCONSOLIDATION,6000,14.27,0.12,N,17,6000.0
40.0,90000.0,MORTGAGE,2.0,PERSONAL,6000,10.62,0.07,N,16,6000.0
40.0,92004.0,RENT,4.0,MEDICAL,6000,10.37,0.07,N,16,6000.0
40.0,69000.0,RENT,3.0,MEDICAL,6000,10.0,0.09,N,11,6000.0
40.0,72000.0,MORTGAGE,0.0,HOMEIMPROVEMENT,6000,5.42,0.08,N,11,6000.0
40.0,55000.0,MORTGAGE,6.0,VENTURE,6000,11.99,0.11,N,14,6000.0
40.0,90000.0,MORTGAGE,12.0,PERSONAL,6000,11.11,0.07,N,11,6000.0
40.0,37000.0,RENT,2.0,MEDICAL,6000,5.99,0.16,N,16,6000.0
40.0,140000.0,MORTGAGE,8.0,EDUCATION,6000,9.64,0.04,N,13,6000.0
40.0,75000.0,MORTGAGE,7.0,MEDICAL,6000,11.12,0.08,N,16,6000.0
40.0,142000.0,RENT,2.0,DEBTCONSOLIDATION,6000,10.38,0.04,N,17,6000.0
40.0,89796.0,MORTGAGE,2.0,VENTURE,6000,6.62,0.07,N,17,6000.0
40.0,60000.0,RENT,2.0,PERSONAL,6000,8.94,0.1,N,12,6000.0
40.0,50000.0,RENT,3.0,PERSONAL,6000,6.76,0.12,N,12,6000.0
40.0,39500.0,RENT,1.0,DEBTCONSOLIDATION,5600,7.9,0.14,N,15,5600.0
40.0,59484.0,MORTGAGE,13.0,VENTURE,5500,10.99,0.09,N,10,5500.0
40.0,64000.0,MORTGAGE,8.0,MEDICAL,5500,10.62,0.08,N,14,5500.0
40.0,54000.0,RENT,2.0,EDUCATION,5500,8.59,0.1,N,11,5500.0
40.0,25000.0,RENT,2.0,PERSONAL,5475,6.62,0.22,N,14,5475.0
40.0,150000.0,MORTGAGE,4.0,MEDICAL,5200,12.69,0.03,N,11,5200.0
40.0,37000.0,RENT,2.0,VENTURE,5000,9.99,0.14,N,11,5000.0
40.0,300000.0,RENT,6.0,DEBTCONSOLIDATION,5000,10.37,0.02,N,11,5000.0
40.0,154000.0,MORTGAGE,18.0,PERSONAL,5000,16.45,0.03,Y,11,5000.0
40.0,70000.0,MORTGAGE,2.0,EDUCATION,5000,7.88,0.07,N,16,5000.0
40.0,60000.0,RENT,5.0,EDUCATION,5000,7.9,0.08,N,13,5000.0
40.0,30000.0,MORTGAGE,1.0,DEBTCONSOLIDATION,5000,7.14,0.17,N,13,5000.0
40.0,80000.0,MORTGAGE,3.0,VENTURE,5000,5.42,0.06,N,14,5000.0
40.0,48000.0,MORTGAGE,3.0,HOMEIMPROVEMENT,5000,14.27,0.1,Y,15,5000.0
40.0,32004.0,RENT,2.0,VENTURE,5000,9.32,0.16,N,14,5000.0
40.0,48000.0,MORTGAGE,5.0,DEBTCONSOLIDATION,5000,7.51,0.1,N,16,5000.0
40.0,75000.0,RENT,6.0,EDUCATION,5000,11.49,0.07,N,12,5000.0
40.0,95000.0,RENT,2.0,MEDICAL,5000,14.79,0.05,Y,14,5000.0
40.0,90000.0,RENT,1.0,DEBTCONSOLIDATION,5000,13.57,0.06,Y,15,5000.0
40.0,50000.0,RENT,4.0,DEBTCONSOLIDATION,5000,10.37,0.1,N,14,5000.0
40.0,45000.0,RENT,6.0,VENTURE,5000,14.79,0.11,Y,14,5000.0
40.0,35000.0,RENT,2.0,MEDICAL,5000,13.22,0.14,N,15,5000.0
40.0,130000.0,MORTGAGE,8.0,VENTURE,5000,13.16,0.04,Y,13,5000.0
40.0,80000.0,RENT,6.0,PERSONAL,5000,12.87,0.06,N,13,5000.0
